candidate_id,cluster,pca_1,pca_2,current_title,current_company,current_industry,years_of_experience
CAND_0075722,9,0.5397123331839961,3.077383190967666,Cloud Engineer,Acme Corp,Manufacturing,7.8
CAND_0080185,9,-0.8418955580057839,-0.47005667686768643,Accountant,Wayne Enterprises,Conglomerate,10.5
CAND_0019865,1,-0.9756206373908544,-1.5080142085800878,Project Manager,Stark Industries,Manufacturing,11.4
CAND_0076700,8,-0.8922357960491831,-1.2049632066735279,Business Analyst,Stark Industries,Manufacturing,2.0
CAND_0092992,9,-1.10797075757753,0.41226026038542685,.NET Developer,Acme Corp,Manufacturing,1.1
CAND_0076435,9,0.4861586195343253,3.4284853180884807,.NET Developer,Mphasis,IT Services,6.8
CAND_0084005,5,2.1792184707895386,4.744306357680996,Backend Engineer,Pied Piper,Software,6.1
CAND_0080918,1,-0.9693312683927804,-2.1052991269900665,Project Manager,TCS,IT Services,11.6
CAND_0060768,1,-0.8661787516607476,-1.3193847361551911,HR Manager,Pied Piper,Software,2.8
CAND_0050075,2,-0.8222116081154901,0.3949344161293943,Mechanical Engineer,Wipro,IT Services,9.3
CAND_0027702,4,-0.7153129750279136,-0.9623793457941503,Graphic Designer,Initech,Software,8.5
CAND_0042142,9,-0.6726307352549666,2.8473880212411276,DevOps Engineer,Swiggy,Food Delivery,1.9
CAND_0045081,5,-0.6639628880428508,1.9813253162734057,Software Engineer,Mphasis,IT Services,6.7
CAND_0016639,9,-1.0685479275832483,-1.0194161485566444,Accountant,Hooli,Software,13.0
CAND_0020425,9,0.4379899357498958,1.5812982457862135,DevOps Engineer,Hooli,Software,7.5
CAND_0088703,0,11.181111192134724,-2.3508950592765148,Customer Support,Dunder Mifflin,Paper Products,5.4
CAND_0000150,10,-1.3231009228423365,-1.88421757848045,Content Writer,Wipro,IT Services,5.4
CAND_0001762,5,1.252418176865751,7.307191993259937,Senior Data Engineer,Vedantu,EdTech,2.7
CAND_0063121,9,0.15406148399838943,0.7002436032495817,Java Developer,Cognizant,IT Services,5.8
CAND_0069162,5,-0.7080939027493435,0.33375755830513837,Civil Engineer,Acme Corp,Manufacturing,6.7
CAND_0064884,9,1.384337050598538,1.0494927877478022,Full Stack Developer,Acme Corp,Manufacturing,6.8
CAND_0002496,9,-0.7633310949018768,0.06017214879474804,Accountant,Pied Piper,Software,14.9
CAND_0080297,5,-0.8712423899796917,-0.017136456594371227,Civil Engineer,Dunder Mifflin,Paper Products,5.1
CAND_0019448,9,-0.9528165346075921,1.3164762708384288,Java Developer,Wipro,IT Services,8.1
CAND_0041332,9,-0.9618463145748182,1.5130610467606427,Mobile Developer,TCS,IT Services,5.0
CAND_0014889,9,-0.7757007204310292,2.335007455263024,Frontend Engineer,Capgemini,IT Services,7.1
CAND_0088637,8,-0.8297154249373484,-1.0876256891607843,Business Analyst,Wayne Enterprises,Conglomerate,14.6
CAND_0094893,9,0.5264815754455705,2.6641225102757597,Cloud Engineer,Initech,Software,2.9
CAND_0092732,0,8.868037995388969,-2.488969537860102,Graphic Designer,Hooli,Software,13.3
CAND_0029131,7,-0.8111851984056303,-0.7927900314890027,Marketing Manager,Initech,Software,2.6
